record_id,batch_id,source_name,source_group,source_type,record_granularity,source_url,document_url,source_document_id,title_raw,summary_raw,text_raw,page_reference_raw,published_at,retrieved_at,language,country_hint,author_or_org,section_category,file_format,extraction_method,access_status,parse_status,raw_storage_path,normalized_storage_path,text_length,content_hash,notes,working_title,kurzbeschrieb,quelle,seitenangabe,stichwoerter,datum,betroffene_konzernziele,auswirkung,zeithorizont,geografische_relevanz,primaer_betroffene_division,sekundaer_betroffene_division,trend,kommentar,dedup_cluster_id,ai_confidence,relevance_score_sbb,pipeline_version
src_newsapi_20260315_001,phase1_wk1,BusinessLine,api,article,item,https://newsapi.org/,https://www.thehindubusinessline.com/economy/logistics/pm-unveils-connectivity-projects-worth-18680-crore-in-west-bengal/article70742912.ece,newsapi_a29d81f5294fd8bb,"PM unveils connectivity projects worth ₹18,680 crore in West Bengal","He laid the foundation stone for the 231 km-long four-lane Kharagpur-Moregram economic corridor, which will reduce the distance by around 120 km and save nearly seven to eight hours","Prime Minister Narendra Modi unveiled connectivity projects worth 18,680 crore in West Bengal on Saturday, ahead of the assembly elections.
He laid the foundation stone for the 231 km-long four-lane… [+1979 chars]",rail safety,2026-03-14T10:51:38Z,2026-03-15T12:18:19Z,en,,PTI,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,214,a29d81f5294fd8bb,,"PM unveils connectivity projects worth ₹18,680 crore in West Bengal","He laid the foundation stone for the 231 km-long four-lane Kharagpur-Moregram economic corridor, which will reduce the distance by around 120 km and save nearly seven to eight hours",BusinessLine,,rail safety,2026-03-14T10:51:38Z,,,,,,,,,,,,v0
src_newsapi_20260315_002,phase1_wk1,The Times of India,api,article,item,https://newsapi.org/,https://economictimes.indiatimes.com/news/elections/assembly-elections/west-bengal/pm-modi-unveils-connectivity-projects-worth-rs-18680-crore-in-west-bengal/articleshow/129572112.cms,newsapi_872500714faa636f,"PM Modi unveils connectivity projects worth Rs 18,680 crore in West Bengal","Prime Minister Narendra Modi launched development projects worth over Rs 18,000 crore in West Bengal. These initiatives include new roads, bridges, and port infrastructure. Several railway stations were also redeveloped. The projects aim to boost connectivity…","Kolkata: Prime Minister Narendra Modi unveiled connectivity projects worth Rs 18,680 crore in West Bengal on Saturday, ahead of the assembly elections.He laid the foundation stone for the 231 km-long… [+2057 chars]",rail safety,2026-03-14T09:35:45Z,2026-03-15T12:18:19Z,en,,PTI,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,214,872500714faa636f,,"PM Modi unveils connectivity projects worth Rs 18,680 crore in West Bengal","Prime Minister Narendra Modi launched development projects worth over Rs 18,000 crore in West Bengal. These initiatives include new roads, bridges, and port infrastructure. Several railway stations were also redeveloped. The projects aim to boost connectivity…",The Times of India,,rail safety,2026-03-14T09:35:45Z,,,,,,,,,,,,v0
src_newsapi_20260315_003,phase1_wk1,Antaranews.com,api,article,item,https://newsapi.org/,https://en.antaranews.com/news/408442/ri-govt-probes-alleged-levies-in-free-sea-travel-program,newsapi_a628b9e37d2ad83b,RI Govt probes alleged levies in free sea travel program,"Indonesia will investigate alleged illegal levies linked to a government-run free sea homecoming program at Nusantara Port in Kendari, Southeast Sulawesi, ...","Indonesia will investigate alleged illegal levies linked to a government-run free sea homecoming program at Nusantara Port in Kendari, Southeast Sulawesi, Deputy Transportation Minister Suntana said … [+2588 chars]",rail safety,2026-03-14T09:23:56Z,2026-03-15T12:18:19Z,en,,"Harianto, Kenzu",rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,214,a628b9e37d2ad83b,,RI Govt probes alleged levies in free sea travel program,"Indonesia will investigate alleged illegal levies linked to a government-run free sea homecoming program at Nusantara Port in Kendari, Southeast Sulawesi, ...",Antaranews.com,,rail safety,2026-03-14T09:23:56Z,,,,,,,,,,,,v0
src_newsapi_20260315_004,phase1_wk1,The Punch,api,article,item,https://newsapi.org/,https://punchng.com/tinubu-overrules-keyamo-moves-safety-investigation-bureau-to-presidency/,newsapi_38f8ea7a50e3b8ac,"Tinubu overrules Keyamo, moves safety investigation bureau to Presidency","President Bola Tinubu has moved the Nigerian Safety Investigation Bureau (NSIB) to the Presidency, overriding the Aviation Minister for operational indepen

Read More: https://punchng.com/tinubu-overrules-keyamo-moves-safety-investigation-bureau-to-presidency/","President Bola Tinubu has overridden the Minister of Aviation and Aerospace Development, Festus Keyamo, by moving the Nigerian Safety Investigation Bureau to the Presidency.
Although it has yet to b… [+4970 chars]",rail safety,2026-03-14T00:52:51Z,2026-03-15T12:18:19Z,en,,Punch Newspapers,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,214,38f8ea7a50e3b8ac,,"Tinubu overrules Keyamo, moves safety investigation bureau to Presidency","President Bola Tinubu has moved the Nigerian Safety Investigation Bureau (NSIB) to the Presidency, overriding the Aviation Minister for operational indepen

Read More: https://punchng.com/tinubu-overrules-keyamo-moves-safety-investigation-bureau-to-presidency/",The Punch,,rail safety,2026-03-14T00:52:51Z,,,,,,,,,,,,v0
src_newsapi_20260315_005,phase1_wk1,Everything-everywhere.com,api,article,item,https://newsapi.org/,https://everything-everywhere.com/the-north-american-bison/,newsapi_befb5463201d37df,The North American Bison,"Podcast Transcript For thousands of years, one animal shaped the ecology, culture, and history of an entire continent.  In vast herds that once numbered in the tens of millions, the North American bison dominated the Great Plains, sustaining Indigenous societ…","Subscribe Apple | Spotify | Amazon |iHeart Radio | Castbox | Podcast Republic | RSS | Patreon | Discord | Facebook | IMDB
For thousands of years, one animal shaped the ecology, culture, and history … [+13831 chars]",rail safety,2026-03-13T21:20:57Z,2026-03-15T12:18:19Z,en,,Gary Arndt,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,215,befb5463201d37df,,The North American Bison,"Podcast Transcript For thousands of years, one animal shaped the ecology, culture, and history of an entire continent.  In vast herds that once numbered in the tens of millions, the North American bison dominated the Great Plains, sustaining Indigenous societ…",Everything-everywhere.com,,rail safety,2026-03-13T21:20:57Z,,,,,,,,,,,,v0
src_newsapi_20260315_006,phase1_wk1,Bringatrailer.com,api,article,item,https://newsapi.org/,https://bringatrailer.com/listing/2022-freightliner-mt55/,newsapi_25febf69491290da,2022 Freightliner Morgan Olson Route Star Food Truck,"This Morgan Olson Route Star food truck was built on a 2022 Freightliner MT-55 chassis and completed with a 2022 doughnut kitchen build-out by Prime Design Food Trucks of Tempe, Arizona. Finished in purple with company graphics, the food truck features a serv…","This Morgan Olson Route Star food truck was built on a 2022 Freightliner MT-55 chassis and completed with a 2022 doughnut kitchen build-out by Prime Design Food Trucks of Tempe, Arizona. Finished in … [+3936 chars]",rail safety,2026-03-13T20:15:14Z,2026-03-15T12:18:19Z,en,,bringatrailer,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,214,25febf69491290da,,2022 Freightliner Morgan Olson Route Star Food Truck,"This Morgan Olson Route Star food truck was built on a 2022 Freightliner MT-55 chassis and completed with a 2022 doughnut kitchen build-out by Prime Design Food Trucks of Tempe, Arizona. Finished in purple with company graphics, the food truck features a serv…",Bringatrailer.com,,rail safety,2026-03-13T20:15:14Z,,,,,,,,,,,,v0
src_newsapi_20260315_007,phase1_wk1,Www.gov.uk,api,article,item,https://newsapi.org/,https://www.gov.uk/government/speeches/rule-of-law-powering-business-success-investment-and-innovation,newsapi_2bb513a4a023e1b2,"‘Rule of Law: Powering Business Success, Investment and Innovation’","The Attorney General Richard Hermer KC delivered a speech in partnership with Plexal to aspiring entrepreneurs, start-ups and scale-ups on the rule of law.","I would like to give my thanks to Plexal for inviting me here today. Im delighted that my office is partnering with you to bring bright business minds together. 
Its great to be here in Stratford.
… [+5719 chars]",rail safety,2026-03-13T16:12:21Z,2026-03-15T12:18:19Z,en,,Attorney General's Office,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,214,2bb513a4a023e1b2,,"‘Rule of Law: Powering Business Success, Investment and Innovation’","The Attorney General Richard Hermer KC delivered a speech in partnership with Plexal to aspiring entrepreneurs, start-ups and scale-ups on the rule of law.",Www.gov.uk,,rail safety,2026-03-13T16:12:21Z,,,,,,,,,,,,v0
src_newsapi_20260315_008,phase1_wk1,The Times of India,api,article,item,https://newsapi.org/,https://economictimes.indiatimes.com/news/elections/assembly-elections/west-bengal/pm-modi-to-visit-bengal-on-saturday-lay-foundation-stone-of-projects-worth-rs-18680-crore/articleshow/129551527.cms,newsapi_a8fc2d674678d5a9,"PM Modi to visit Bengal on Saturday; lay foundation stone of projects worth Rs 18,680 crore","Prime Minister Narendra Modi will visit West Bengal on Saturday. He will inaugurate and lay foundation stones for development projects worth approximately Rs 18,680 crore. These initiatives focus on infrastructure, connectivity, and economic growth. The visit…","New Delhi: Prime Minister Narendra Modi will visit West Bengal on Saturday, during which he will inaugurate and lay foundation stones of multiple development projects worth around Rs 18,680 crore in … [+3401 chars]",rail safety,2026-03-13T12:00:18Z,2026-03-15T12:18:19Z,en,,PTI,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,214,a8fc2d674678d5a9,,"PM Modi to visit Bengal on Saturday; lay foundation stone of projects worth Rs 18,680 crore","Prime Minister Narendra Modi will visit West Bengal on Saturday. He will inaugurate and lay foundation stones for development projects worth approximately Rs 18,680 crore. These initiatives focus on infrastructure, connectivity, and economic growth. The visit…",The Times of India,,rail safety,2026-03-13T12:00:18Z,,,,,,,,,,,,v0
src_newsapi_20260315_009,phase1_wk1,Lithub.com,api,article,item,https://newsapi.org/,https://lithub.com/an-awfully-big-adventure/,newsapi_2b92e66e0a0f8a12,An Awfully Big Adventure,The cast was allowed onto the stage five days before the opening night of the season. Meredith apologised for the delay. A leak had developed in a portion of the roof above the flies; there was still a slight pinking,The cast was allowed onto the stage five days before the opening night of the season. Meredith apologised for the delay. A leak had developed in a portion of the roof above the flies; there was still… [+23221 chars],rail safety,2026-03-13T08:55:34Z,2026-03-15T12:18:19Z,en,,Lit Hub Excerpts,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,215,2b92e66e0a0f8a12,,An Awfully Big Adventure,The cast was allowed onto the stage five days before the opening night of the season. Meredith apologised for the delay. A leak had developed in a portion of the roof above the flies; there was still a slight pinking,Lithub.com,,rail safety,2026-03-13T08:55:34Z,,,,,,,,,,,,v0
src_newsapi_20260315_010,phase1_wk1,PezCycling News,api,article,item,https://newsapi.org/,https://pezcyclingnews.com/technspec/gear-break-bianchi-tifosi-mucoff-vittoria-continental-pasnormalstudios/,newsapi_f5d1db5226ea41fa,"Gear Break: Lucky Ɛ⇂ – Bianchi Infinito, Tifosi Sanctum SL, Muc-Off Dark Energy Wax, Vittoria Air Liner Light Road, Continental GP5000 Expanded Range, Pas Normal Studios SS26","Yes, we’ve flipped the number upside down in case you need some luck. With this weeks’ Gear Break, we suspect you won’t need much of it though. A new bike from Bianchi promises speed and comfort on any road, especially if you’ve lubed your chain with the new …","Here we are exactly 4 week since the last Friday the 13th. This week Gear Break is Lucky . Though, with kit and equipment this good, you probably wont need any luck. Bianchis new all-road (and very g… [+21055 chars]",rail safety,2026-03-13T07:01:50Z,2026-03-15T12:18:19Z,en,,Andy Rohrer,rail safety,json,api,ok,success,data/raw/newsapi/,data/normalized/newsapi_sample_v0.csv,215,f5d1db5226ea41fa,,"Gear Break: Lucky Ɛ⇂ – Bianchi Infinito, Tifosi Sanctum SL, Muc-Off Dark Energy Wax, Vittoria Air Liner Light Road, Continental GP5000 Expanded Range, Pas Normal Studios SS26","Yes, we’ve flipped the number upside down in case you need some luck. With this weeks’ Gear Break, we suspect you won’t need much of it though. A new bike from Bianchi promises speed and comfort on any road, especially if you’ve lubed your chain with the new …",PezCycling News,,rail safety,2026-03-13T07:01:50Z,,,,,,,,,,,,v0
